"X","Tenure","Gender","EducationLevel","LoanStatus","NetPromoterScore","TransactionFrequency","Surname","Age","Geography","ComplaintsCount","HasCrCard","EstimatedSalary","IsActiveMember","AvgTransactionAmount","CustomerSegment","MaritalStatus","DigitalEngagementScore","ID","CreditScore","SavingsAccountFlag","Balance","NumOfProducts","Exited"
NA,6,"Female","Other","Default risk",0,NA,"Boyle",38,"Germany",3,NA,7387.8,NA,NA,NA,"Widowed",NA,760,697,0,NA,1,NA
NA,6,"Male","University","No loan",10,39,"Quinn",NA,"Germany",NA,1,108488.33,0,102.980823931377,"Mass Market","Married",48,261,603,NA,108122.39,2,NA
NA,6,"Male",NA,"Active loan",6,28,NA,35,NA,0,NA,45206.57,NA,NA,"Affluent","Single",59,641,605,0,NA,2,NA
NA,1,NA,"University",NA,10,30,"Greece",31,"Germany",0,1,125083.29,NA,178.766724558214,NA,"Married",76,2479,NA,NA,128663.81,NA,NA
NA,7,"Male","University",NA,10,31,"Lombardi",52,NA,0,NA,NA,NA,109.01471711543,NA,"Married",73,407,NA,1,NA,1,NA
NA,4,"Male","University","No loan",NA,32,NA,NA,"Germany",NA,0,NA,NA,NA,NA,NA,NA,2665,774,NA,120875.23,2,NA
NA,4,"Female","Other","Default risk",0,NA,"Yuryeva",27,"France",NA,NA,190269.21,0,227.152868029684,NA,"Widowed",NA,730,617,NA,0,2,NA
NA,1,"Male",NA,"Active loan",5,37,NA,39,"Germany",0,NA,158891.79,1,NA,"Affluent","Single",NA,1849,413,1,130969.77,2,NA
NA,8,"Female","University","No loan",10,NA,"Eluemuno",40,"Germany",0,NA,NA,0,72.9656728288508,"Mass Market","Married",71,2421,678,NA,128644.46,1,NA
NA,NA,"Female",NA,"No loan",NA,43,"Hartley",34,"Spain",NA,1,50777.77,1,115.692698497999,"Mass Market",NA,NA,2615,NA,1,171671.9,1,NA
NA,5,"Female","High School",NA,NA,36,NA,35,"Spain",NA,1,59653.03,NA,54.1528951175762,"Affluent","Single",NA,2343,NA,0,136526.26,2,NA
NA,3,"Male",NA,"Active loan",4,NA,NA,36,"Spain",0,NA,67238.01,0,141.963483759376,"Affluent","Single",NA,1531,525,NA,77910.23,1,NA
NA,9,"Female","University","No loan",10,27,NA,57,"France",0,1,105715.01,NA,NA,"Mass Market","Married",44,2900,698,1,111359.55,NA,NA
NA,1,"Male",NA,"No loan",9,NA,NA,38,"Germany",0,NA,NA,NA,NA,"Mass Market","Married",NA,1473,784,1,138515.02,1,NA
NA,NA,"Male",NA,"No loan",10,NA,"Henderson",NA,NA,0,NA,NA,1,NA,"Mass Market",NA,79,1905,NA,1,125023.1,2,NA
NA,NA,NA,"University","No loan",10,28,"Iqbal",42,"Spain",0,NA,NA,NA,86.5961741605961,NA,NA,35,1363,NA,1,68683.68,1,NA
NA,1,"Male",NA,"Active loan",NA,38,"Barclay-Harvey",NA,NA,0,0,NA,1,71.7676686255994,"Affluent","Single",NA,1813,513,0,63562.02,2,NA
NA,8,"Male",NA,"No loan",8,30,"Ko",NA,"Spain",0,1,NA,NA,NA,"Mass Market","Married",70,1668,608,1,123935.35,1,NA
NA,3,"Male","University",NA,10,35,"Kang",22,"France",0,NA,173940.59,1,NA,"Mass Market","Married",55,2291,674,NA,0,1,NA
NA,NA,"Male","High School","Active loan",NA,NA,"Thorpe",42,NA,NA,0,86797.41,0,54.0747335929117,"Affluent","Single",NA,30,562,NA,NA,1,NA
NA,NA,"Male",NA,NA,NA,26,NA,35,"Spain",NA,1,109794.31,NA,100.183642051313,"Affluent","Single",NA,2443,577,1,NA,1,NA
NA,8,"Male","High School",NA,NA,34,"Thornton",43,"Spain",0,0,NA,1,246.242083698534,"Affluent",NA,55,2730,673,1,NA,NA,NA
NA,NA,NA,"University","No loan",10,36,"Hughes",NA,"Germany",0,1,NA,1,217.340892151983,"Mass Market","Married",83,122,NA,1,85679.25,NA,NA
NA,3,"Female","High School",NA,9,NA,NA,37,"France",0,1,NA,NA,86.6225948215384,NA,"Married",90,2632,NA,NA,0,2,NA
NA,7,"Male",NA,NA,NA,21,"Slater",38,"Germany",0,0,NA,0,80.4989656390494,"Affluent",NA,40,1747,850,NA,101985.81,2,NA
NA,8,"Male","University","No loan",NA,NA,NA,NA,"France",0,NA,90177.3,NA,77.5044506724782,"Mass Market","Married",44,1216,NA,1,86270.93,2,NA
NA,7,NA,NA,NA,9,30,"Johnstone",NA,"France",0,0,110405.9,0,145.710501066574,"Mass Market","Married",74,2643,NA,NA,178074.33,1,NA
NA,NA,"Male","Other","Default risk",0,27,"Harker",NA,"France",3,NA,146041.45,0,71.1433779811932,"High Net Worth","Widowed",72,245,745,NA,157993.15,2,NA
NA,9,"Male","University","No loan",10,32,"Yashina",51,NA,NA,0,NA,0,NA,"Mass Market",NA,44,2518,701,NA,0,2,NA
NA,7,"Male","High School","Active loan",4,40,"Ardis",34,"Germany",NA,1,51226.32,0,64.2643947719356,"Affluent","Single",63,2126,655,0,118028.35,1,NA
NA,1,"Female","University","No loan",NA,30,NA,47,NA,NA,0,86622.56,0,NA,"Mass Market","Married",52,1804,NA,NA,104887.43,1,NA
NA,NA,NA,"High School","No loan",9,NA,"Swift",NA,"Spain",0,NA,128449.33,NA,NA,NA,"Single",NA,474,NA,1,0,2,NA
NA,9,NA,"University",NA,8,31,"Williamson",32,"Germany",NA,1,198894.42,0,NA,"Mass Market","Married",NA,1800,NA,1,NA,2,NA
NA,8,"Male","Postgraduate","Active loan",1,35,NA,27,NA,1,0,7222.92,0,278.23185323623,NA,"Divorced",46,285,531,NA,132576.25,NA,NA
NA,5,"Male","High School",NA,NA,NA,"Stephenson",NA,"France",0,NA,NA,0,NA,"Affluent","Single",76,934,590,0,NA,2,NA
NA,2,"Male","High School","No loan",9,30,"Watkins",NA,"France",NA,NA,166650.32,NA,143.830447751512,NA,"Married",71,2341,805,1,0,1,NA
NA,3,"Male",NA,"No loan",NA,32,NA,26,"France",0,NA,137476.09,NA,207.560880585304,"Affluent","Single",34,1809,466,NA,NA,1,NA
NA,NA,NA,"High School",NA,4,NA,NA,NA,"Spain",NA,1,120736.04,0,73.9697359988002,"Affluent","Single",59,921,653,0,0,2,NA
NA,NA,"Female","High School",NA,NA,NA,"Hs?",NA,NA,0,NA,133871.83,0,82.6539229757147,"Mass Market","Married",45,1288,716,1,155114.9,1,NA
NA,10,"Female",NA,"No loan",NA,NA,"Brookes",NA,"France",NA,NA,NA,1,68.8675627953084,"Mass Market",NA,61,2952,NA,1,191091.74,2,NA
NA,9,"Male","University","No loan",10,21,NA,NA,"Germany",0,1,NA,1,161.73064156059,"Mass Market","Married",NA,2778,780,1,NA,2,NA
NA,5,"Female","Postgraduate","Active loan",1,26,"Algarin",35,"France",NA,1,133991.11,0,180.604327101244,"High Net Worth","Divorced",NA,1235,705,NA,0,1,NA
NA,8,"Male","University",NA,NA,36,"Martin",NA,"Germany",0,NA,84270.09,1,NA,"Mass Market",NA,56,1361,627,1,106922.92,NA,NA
NA,NA,"Male","High School",NA,5,NA,"T'ang",42,NA,0,1,55470.78,1,67.1838671604356,"Affluent","Single",NA,55,636,1,0,2,NA
NA,NA,"Male",NA,NA,NA,36,"Ross",31,"France",NA,NA,35408.77,NA,NA,"Affluent","Single",NA,2618,622,NA,0,1,NA
NA,2,NA,"University","No loan",8,32,NA,36,"Germany",NA,0,47271.61,NA,138.520162886747,"Mass Market","Married",61,229,NA,NA,NA,NA,NA
NA,6,NA,"University","No loan",8,22,NA,35,NA,0,0,NA,1,241.262305615758,"Mass Market","Married",73,2268,691,1,0,2,NA
NA,5,"Male","Postgraduate","Default risk",1,27,NA,25,"France",NA,0,NA,NA,70.4814744372694,"High Net Worth",NA,45,1325,681,0,NA,1,NA
NA,NA,NA,"University",NA,NA,32,NA,40,"France",0,1,187343.4,NA,NA,"Mass Market","Married",41,2563,678,1,0,NA,NA
NA,0,"Female","University","No loan",9,NA,"Dean",NA,NA,0,0,NA,1,NA,NA,"Married",70,2225,NA,NA,0,2,NA
NA,4,NA,"University","No loan",NA,NA,NA,24,NA,NA,1,NA,1,NA,NA,"Married",NA,304,635,1,NA,2,NA
NA,NA,"Male",NA,"No loan",9,26,"Hanna",36,"France",NA,1,145937.99,1,NA,"Mass Market","Married",92,800,620,NA,0,2,NA
NA,9,"Male","High School","Active loan",7,31,"Martin",40,"France",0,NA,149602.54,1,NA,"Affluent",NA,67,2183,610,0,0,1,NA
NA,0,"Male",NA,"No loan",10,NA,"Pethard",40,NA,NA,NA,110887.14,NA,155.764291955532,NA,NA,39,659,NA,1,NA,1,NA
NA,4,"Female","High School","Active loan",NA,29,NA,NA,"France",0,1,133287.73,1,139.839978226132,"Affluent","Single",59,2677,547,0,NA,1,NA
NA,6,NA,NA,"No loan",NA,NA,"Chikelu",39,"France",0,1,140497.67,1,163.344667417754,"Mass Market","Married",78,889,759,1,0,NA,NA
NA,NA,"Male","Other","Default risk",NA,23,"White",44,NA,3,NA,NA,NA,97.9329383283722,NA,"Widowed",40,897,NA,0,NA,2,NA
NA,NA,"Female","University","No loan",NA,NA,"Freeman",41,NA,NA,NA,194902.16,NA,103.962224789646,"Mass Market",NA,NA,147,NA,NA,0,1,NA
NA,3,"Female",NA,"No loan",10,42,"Somayina",46,"France",0,1,187980.21,1,243.346082263445,"Mass Market","Married",88,2087,850,1,0,NA,NA
NA,NA,"Female","University","No loan",8,NA,"Yin",43,NA,NA,1,125870.79,0,85.9141090453251,NA,NA,62,401,568,NA,0,1,NA
NA,2,"Male",NA,"No loan",9,NA,"Tu",NA,"Germany",0,1,166423.66,1,NA,"Mass Market","Married",NA,1237,507,NA,134237.07,NA,NA
NA,NA,"Female","University","No loan",10,30,"Tsai",NA,"Germany",0,NA,57380.13,NA,46.3211109429965,NA,NA,47,1988,546,1,86351.85,2,NA
NA,NA,"Female","University",NA,NA,33,"Fedorova",39,"Spain",0,0,38410.74,0,102.318400127376,NA,"Married",79,601,NA,1,0,NA,NA
NA,NA,NA,NA,"Active loan",NA,NA,"Richmond",27,NA,NA,0,NA,NA,NA,"Affluent","Single",60,2703,516,0,0,NA,NA
NA,NA,NA,"University","No loan",8,NA,"Williams",36,"France",NA,1,102638.35,0,NA,NA,"Married",56,936,NA,NA,129440.3,NA,NA
NA,NA,"Male","Other",NA,0,40,"Chidiegwu",NA,NA,3,NA,20092.89,1,110.986963822385,"High Net Worth","Widowed",NA,681,NA,NA,0,2,NA
NA,2,NA,"Other","Default risk",0,23,"Loggia",57,"Spain",3,1,NA,NA,83.1736025074976,NA,"Widowed",NA,2119,605,NA,0,3,NA
NA,2,NA,"University","No loan",9,31,NA,NA,"France",0,0,44220.4,1,111.051845153824,"Mass Market","Married",69,724,NA,1,NA,NA,NA
NA,4,"Male","Other","Default risk",0,27,"McIntyre",34,NA,3,NA,68562.26,NA,189.392893082756,"High Net Worth","Widowed",55,706,762,0,NA,2,NA
NA,NA,NA,"High School","Active loan",4,NA,"Uwaezuoke",29,"France",NA,NA,143954.99,NA,151.355576470793,NA,"Single",83,195,503,0,NA,2,NA
NA,9,"Female","Postgraduate",NA,1,37,"Ts'ui",65,"France",2,NA,107890.69,0,143.635398299575,"High Net Worth","Divorced",62,679,580,0,106804.26,NA,NA
NA,NA,"Male","Postgraduate","Active loan",7,34,"Duncan",39,"Germany",1,0,61793.47,1,106.938335211397,"High Net Worth",NA,77,2964,NA,0,121681.91,NA,NA
NA,1,"Male","High School",NA,2,24,"Ijendu",NA,"France",0,NA,111243.09,0,298.354567857719,"Affluent",NA,41,680,572,1,NA,1,NA
NA,10,"Male",NA,"No loan",NA,42,"De Luca",NA,"France",0,NA,NA,NA,157.902233724303,"Mass Market","Married",42,902,556,1,0,NA,NA
NA,NA,"Male","University",NA,8,34,"Douglas",34,"Germany",0,1,66680.77,NA,32.4970105247539,"Mass Market",NA,54,582,578,NA,147487.23,2,NA
NA,2,"Female","High School","Active loan",NA,34,"Cattaneo",39,"France",NA,NA,70665.16,NA,69.5527454396249,NA,NA,NA,2649,485,1,75339.64,1,NA
NA,3,"Male","Postgraduate","Active loan",3,38,"Kang",NA,"France",1,NA,NA,1,108.668470656058,NA,NA,50,778,NA,0,0,2,NA
NA,NA,"Female",NA,NA,6,25,NA,40,"France",0,1,147358.27,0,NA,"Affluent","Single",63,134,611,0,100812.33,2,NA
NA,1,"Male","University","No loan",NA,NA,"Shih",43,"France",0,1,34888.04,0,NA,"Mass Market",NA,45,62,NA,NA,105799.32,2,NA
NA,8,NA,"University","No loan",NA,31,NA,25,"Spain",0,1,135112.09,1,NA,"Mass Market","Married",NA,463,668,1,0,2,NA
NA,8,"Female","High School","Active loan",6,NA,"Onwumelu",41,"France",0,0,92982.61,0,137.62697297251,"Affluent","Single",NA,57,715,NA,56214.85,NA,NA
NA,NA,"Female","High School","No loan",9,23,"Ricci",51,"France",0,0,85578.63,1,136.494787491886,"Affluent","Single",69,120,762,1,99286.98,NA,NA
NA,1,"Female","University","No loan",10,26,NA,57,"Spain",0,NA,NA,NA,186.314280186402,"Mass Market","Married",74,518,NA,1,NA,2,NA
NA,2,NA,"University",NA,10,25,"Wiley",31,"Germany",0,NA,18800.13,1,NA,NA,"Married",NA,546,579,1,90547.48,NA,NA
NA,NA,"Female",NA,NA,NA,37,"Simpson",22,"France",0,NA,194783.12,NA,141.05181928682,"Mass Market","Married",56,2539,NA,1,76318.64,NA,NA
NA,NA,"Female","University","No loan",8,28,NA,32,"France",NA,1,54628.11,NA,NA,"Mass Market","Married",NA,1847,NA,NA,0,NA,NA
NA,NA,"Male",NA,"Active loan",NA,27,"Sandefur",NA,NA,0,1,146516.86,NA,NA,NA,"Single",NA,2382,430,NA,NA,1,NA
NA,NA,"Male",NA,"Active loan",NA,30,"Stevenson",29,"France",0,0,51705.01,0,70.462469603553,"Affluent","Single",NA,2227,NA,0,0,2,NA
NA,6,"Female",NA,"No loan",NA,27,"Tobenna",23,"Germany",0,0,90494.72,NA,39.058440315379,"Mass Market",NA,48,1282,NA,1,NA,2,NA
NA,1,"Female","High School","No loan",NA,30,NA,NA,NA,0,NA,NA,1,56.7797942503772,"Mass Market",NA,NA,2896,585,1,0,1,NA
NA,6,NA,"Postgraduate",NA,3,NA,"Russell",44,NA,1,NA,151516.7,0,NA,NA,"Divorced",NA,1755,703,0,98862.54,1,NA
NA,NA,"Female","University","No loan",10,NA,"Rishel",22,"France",NA,1,73286.8,0,122.066104898929,NA,NA,89,2420,561,1,186788.96,NA,NA
NA,0,NA,"High School",NA,9,NA,"Mamelu",NA,NA,0,1,109523.88,0,NA,"Mass Market","Married",41,742,527,1,0,NA,NA
NA,1,"Male","High School",NA,2,24,"Gibson",28,"Germany",0,1,NA,0,NA,NA,NA,67,999,NA,1,118402.25,2,NA
NA,5,"Female","High School","Active loan",6,34,"Gorshkov",31,NA,0,1,73922.95,1,142.184293715577,"Affluent",NA,NA,2905,644,0,86006.3,1,NA
NA,NA,NA,NA,"No loan",10,NA,"Rees",34,NA,0,0,121457.88,1,NA,"Mass Market","Married",NA,2222,NA,NA,0,1,NA
NA,NA,"Female","Postgraduate",NA,3,33,"Ifesinachi",59,"Germany",1,NA,NA,1,NA,"High Net Worth",NA,NA,2314,666,0,NA,2,NA
NA,8,"Female","University","No loan",NA,22,NA,NA,NA,0,NA,54689.16,0,102.717306066409,"Mass Market","Married",NA,537,NA,1,14262.8,2,NA
NA,6,"Male","High School","No loan",NA,NA,"Kennedy",NA,NA,0,1,NA,0,82.1975479279426,"Affluent",NA,70,1429,743,1,0,2,NA
NA,NA,"Female",NA,"Active loan",5,NA,"Ashbolt",55,"Germany",0,NA,8080.85,0,107.250873349395,"Affluent","Single",62,53,754,NA,161608.81,1,NA
NA,3,"Male","Postgraduate",NA,1,27,"Tung",NA,"Germany",2,0,NA,0,64.5487877359217,NA,"Divorced",36,666,632,0,NA,1,NA
NA,NA,"Male","University","No loan",NA,NA,"Piccio",51,"Spain",0,1,152479.64,NA,NA,"Mass Market","Married",52,1550,771,NA,135506.58,3,NA
NA,7,"Male",NA,"Active loan",7,30,"Sanders",33,"France",NA,1,11205.5,1,154.988255141155,"High Net Worth",NA,65,1311,NA,0,115195.58,1,NA
NA,7,"Female",NA,"No loan",8,34,"Nixon",41,"France",NA,NA,176780.39,1,178.569970745651,"Mass Market","Married",NA,2522,522,NA,NA,NA,NA
NA,3,"Female",NA,"No loan",8,29,"Pirozzi",42,NA,0,1,35989.41,0,NA,"Mass Market","Married",63,420,NA,1,0,NA,NA
NA,NA,NA,NA,"Default risk",NA,31,"Whitehead",NA,NA,4,0,162922.65,1,98.2618028860898,"High Net Worth",NA,59,110,709,0,NA,2,NA
NA,7,"Female","High School","No loan",9,38,"Reilly",26,"France",0,1,93122.41,0,123.39917230973,NA,"Married",72,2351,555,NA,0,2,NA
NA,NA,"Male","High School",NA,2,29,"Lamb",32,"Spain",NA,1,191545.65,0,48.3238486906115,"Affluent",NA,NA,1181,675,1,NA,2,NA
NA,NA,"Male",NA,"Default risk",1,24,"Onwuatuegwu",27,"Germany",2,1,77027.34,1,125.045808430073,"High Net Worth","Divorced",NA,770,627,NA,NA,2,NA
NA,8,"Male","Postgraduate",NA,7,32,NA,49,"France",NA,0,157822.54,0,NA,NA,"Divorced",NA,2191,NA,NA,NA,2,NA
NA,9,NA,NA,NA,NA,NA,"Palmer",39,NA,0,1,NA,1,86.1333543970722,"Mass Market","Married",NA,2029,701,1,0,2,NA
NA,NA,"Male","University","No loan",10,35,NA,29,"France",0,0,24865.54,NA,NA,NA,"Married",NA,1218,635,1,0,NA,NA
NA,3,"Female","High School",NA,5,31,"Abramova",53,NA,0,0,88479.02,NA,49.6713093342579,"Affluent","Single",NA,2248,NA,NA,0,3,NA
NA,5,"Female","High School","Active loan",5,NA,"Watson",32,"Spain",NA,1,31484.76,1,143.406725585944,NA,"Single",70,2801,NA,1,145553.07,1,NA
NA,NA,"Male",NA,NA,NA,32,"Chidiebele",NA,"Germany",1,NA,NA,NA,73.3245855301987,NA,"Divorced",51,81,703,0,63227,NA,NA
NA,9,"Male","University","No loan",8,30,"Nwachukwu",38,NA,0,0,15859.95,NA,155.693876910572,"Mass Market","Married",NA,2336,NA,1,NA,2,NA
NA,2,"Male","High School","No loan",2,29,"Purdy",31,"Spain",0,NA,NA,0,55.2647216593421,"Affluent",NA,45,1575,NA,1,118899.45,2,NA
NA,3,"Male",NA,"No loan",NA,NA,"Nkemakonam",33,"Germany",0,1,53667.08,0,NA,NA,"Married",59,2995,NA,1,35016.6,NA,NA
NA,1,NA,"High School",NA,7,19,"Sinclair",NA,"Germany",0,NA,NA,0,NA,"Affluent","Single",45,2107,NA,0,131160.85,NA,NA
NA,NA,"Male","High School","No loan",NA,32,NA,68,NA,0,1,35865.44,NA,NA,"Affluent","Single",NA,2311,758,1,112595.85,NA,NA
NA,9,NA,NA,"Default risk",0,27,"Shaw",73,"France",3,NA,114283.33,1,98.6202505846015,"High Net Worth","Widowed",81,2714,735,NA,0,1,NA
NA,8,"Male","Postgraduate","Active loan",3,31,"Hu",55,"France",1,1,139161.64,1,185.08326540501,NA,NA,78,20,664,0,NA,NA,NA
NA,4,"Male",NA,"Default risk",1,43,"P'eng",35,"France",2,NA,104076.51,NA,82.399947544798,"High Net Worth","Divorced",36,656,600,NA,143744.77,2,NA
NA,NA,"Female","University","No loan",9,27,"Boni",24,"France",0,1,NA,NA,163.966939715734,"Mass Market","Married",NA,2070,733,1,161884.99,NA,NA
NA,NA,"Female","Postgraduate","Active loan",7,37,NA,37,"France",1,1,158840.99,0,122.277427139622,NA,NA,50,2150,493,0,142987.46,NA,NA
NA,10,"Female","University","No loan",NA,43,"Nolan",62,"France",0,0,NA,1,NA,NA,NA,NA,963,NA,NA,NA,2,NA
NA,0,"Female","High School","No loan",NA,22,"Menhennitt",44,NA,0,1,NA,NA,74.0069181544968,"Affluent","Single",85,1558,637,NA,157622.58,NA,NA
NA,NA,"Male","University",NA,8,26,"Tan",NA,"Germany",NA,1,26163.74,NA,NA,NA,NA,71,550,NA,NA,NA,NA,NA
NA,7,"Male","High School","No loan",2,43,NA,NA,NA,0,NA,184581.68,1,150.84401565818,"Affluent","Single",60,1061,731,1,0,2,NA
NA,3,"Male","University","No loan",8,34,NA,34,NA,0,1,NA,0,NA,"Mass Market","Married",78,348,729,1,NA,1,NA
NA,9,"Female","University","No loan",10,NA,"Leach",41,"Spain",0,1,NA,NA,66.2743349876506,"Mass Market","Married",NA,768,622,1,0,NA,NA
NA,6,NA,"University","No loan",8,32,"Trevisano",NA,NA,0,1,38196.24,1,69.326619215499,NA,"Married",NA,1878,NA,1,95900.04,1,NA
NA,9,NA,"High School","Active loan",NA,37,"Rowley",58,NA,NA,0,NA,1,121.294866660243,"Affluent","Single",52,1138,748,1,NA,2,NA
NA,5,"Male","University","No loan",NA,NA,NA,25,"Spain",NA,NA,42537.59,1,NA,NA,"Married",53,2041,NA,1,NA,NA,NA
NA,9,"Male","High School",NA,NA,NA,"Bancks",50,"France",0,1,158032.5,0,64.0103386781727,"Affluent","Single",61,1895,669,0,201009.64,1,NA
NA,10,NA,"Postgraduate","Active loan",3,28,"Sousa",42,NA,1,NA,61312.15,0,75.9284362891524,"High Net Worth","Divorced",62,2212,697,0,0,2,NA
NA,3,NA,"High School","Active loan",5,27,NA,NA,"Germany",0,1,182355.21,1,111.845895204199,"Affluent","Single",NA,700,663,1,NA,1,NA
NA,NA,"Female","University",NA,10,35,NA,39,"France",0,1,32824.15,NA,NA,NA,NA,50,2437,554,1,NA,NA,NA
NA,NA,"Female","High School",NA,5,32,"Madueke",26,NA,0,0,166799.93,0,NA,"Affluent","Single",40,1245,528,1,NA,2,NA
NA,6,"Female",NA,"No loan",10,25,"Pettit",NA,NA,NA,1,7330.59,1,62.5338880264449,"Mass Market","Married",NA,255,NA,NA,0,NA,NA
NA,9,"Female","University",NA,NA,36,"Chan",34,NA,NA,1,25095.03,1,121.140366765353,"Mass Market",NA,66,171,666,NA,NA,1,NA
NA,4,NA,"University","No loan",10,31,"Sharpe",NA,"France",0,1,93251.42,0,NA,"Mass Market","Married",71,23,646,1,0,3,NA
NA,NA,"Male","High School","Active loan",5,NA,"Gray",51,"France",0,1,38409.79,0,NA,NA,"Single",44,365,711,1,0,3,NA
NA,1,NA,NA,"Active loan",NA,NA,"Ford",NA,"France",0,0,117060.2,NA,NA,"Affluent","Single",61,1462,NA,0,138023.79,2,NA
NA,NA,"Male","University","No loan",10,34,"Melton",63,"France",NA,0,184107.26,NA,NA,"Mass Market","Married",87,610,850,1,169832.57,NA,NA
NA,7,"Male","High School","Active loan",6,NA,NA,NA,"France",NA,1,NA,0,57.0309738963293,"Affluent",NA,50,2289,NA,0,117715.84,1,NA
NA,NA,"Male","Postgraduate","Default risk",1,37,NA,41,"Germany",2,NA,NA,0,NA,NA,"Divorced",46,1890,619,0,147974.16,2,NA
NA,8,"Male","University",NA,NA,27,"Wallace",45,NA,0,1,113950.51,1,NA,"Mass Market","Married",49,1735,773,1,NA,1,NA
NA,8,"Female","University","No loan",10,NA,NA,NA,NA,NA,0,78616.92,0,76.7042149202417,"Mass Market",NA,37,2576,NA,1,0,2,NA
NA,NA,NA,NA,"No loan",9,27,"Shen",40,"France",0,NA,73882.49,NA,100.871057513561,NA,"Married",56,2203,NA,1,93183.19,NA,NA
NA,3,NA,"Postgraduate","Active loan",NA,29,"Marshall",NA,"France",1,NA,88698.83,1,61.9167502443466,NA,NA,70,310,642,NA,0,NA,NA
NA,6,"Male",NA,NA,3,NA,"Bruce",40,"Germany",1,1,138564.48,0,147.758758198612,NA,"Divorced",NA,1509,721,NA,100275.88,1,NA
NA,NA,"Female",NA,"No loan",NA,23,"McKay",33,NA,0,NA,109291.39,NA,113.162787900141,"Mass Market","Married",NA,168,607,NA,NA,NA,NA
NA,8,"Female",NA,"No loan",9,31,"Dunn",NA,NA,0,0,NA,1,260.671984760785,NA,NA,86,1612,695,NA,NA,2,NA
NA,6,"Male","High School","Active loan",7,28,"Ross",NA,"Spain",0,NA,136506.86,0,123.627493843289,"Affluent","Single",NA,329,503,NA,0,NA,NA
NA,NA,"Male","University",NA,NA,25,"Sutherland",61,"France",NA,NA,172141.33,NA,146.856824992515,"Mass Market","Married",72,1137,682,1,73688.2,1,NA
NA,5,"Male","High School","Active loan",7,40,NA,35,NA,0,NA,NA,NA,102.808829222836,"Affluent","Single",NA,1768,703,0,140691.08,2,NA
NA,7,"Female",NA,NA,NA,32,NA,31,"France",2,NA,49326.07,NA,61.0617342676584,NA,"Divorced",45,1113,512,0,0,NA,NA
NA,NA,NA,NA,NA,NA,37,"Padovano",35,"Germany",0,NA,167313.07,1,146.235854040145,NA,"Married",NA,2527,NA,NA,171982.95,NA,NA
NA,8,NA,"University",NA,10,23,"Parsons",NA,"France",0,1,NA,0,106.154858232477,NA,"Married",48,1091,841,1,0,1,NA
NA,3,"Male","High School","Active loan",NA,35,"Shao",31,NA,NA,1,189657.26,1,98.8572373785179,NA,"Single",73,2131,667,1,99513.91,1,NA
NA,6,"Male","High School","Active loan",6,NA,"P'eng",63,"France",NA,NA,NA,NA,76.9879605985233,"Affluent",NA,70,1128,431,0,160982.89,1,NA
NA,0,"Female","High School","Active loan",4,NA,"Carpenter",46,"Germany",0,0,NA,1,68.3816808698515,"Affluent",NA,NA,1078,NA,0,89087.89,1,NA
NA,2,"Male","Postgraduate","Default risk",1,NA,"Parkin",39,"Spain",NA,1,195638.13,1,NA,NA,"Divorced",NA,2021,550,0,116120.19,2,NA
NA,7,NA,"University","No loan",10,NA,"Echezonachukwu",35,"Germany",0,1,NA,NA,107.077246218946,NA,"Married",88,2991,602,1,NA,2,NA
NA,7,"Male",NA,"No loan",NA,30,"Ch'ien",46,NA,0,1,NA,0,53.136708013133,"Affluent","Single",43,1010,NA,NA,91443.75,1,NA
NA,6,"Male","University","No loan",8,NA,"Mullen",NA,"France",0,1,58458.26,0,93.3270543089728,"Mass Market","Married",72,2215,685,1,NA,1,NA
NA,7,"Male","High School","Active loan",4,19,NA,32,NA,NA,1,39768.59,NA,242.311689378447,NA,"Single",49,288,NA,NA,100433.8,1,NA
NA,5,NA,"University","No loan",10,NA,"Tu",41,"Germany",0,NA,88729.22,0,85.3202998632797,"Mass Market",NA,80,1886,497,1,80542.81,1,NA
NA,1,"Male","Postgraduate","Active loan",NA,37,"Lazareva",NA,"Spain",1,1,159130.32,0,122.489029836494,NA,NA,NA,1618,598,NA,0,NA,NA
NA,7,"Female","High School","Active loan",5,NA,"Bednall",34,"Spain",0,1,98949.85,0,104.416085695349,"Affluent","Single",NA,2909,NA,1,0,2,NA
NA,2,"Male","Postgraduate","Default risk",1,NA,"Wheare",36,"France",2,1,179128.69,NA,98.1433835383234,NA,"Divorced",65,567,717,NA,NA,1,NA
NA,0,"Male","University",NA,8,19,"Mackay",34,"France",NA,1,NA,NA,111.933562283688,"Mass Market",NA,77,336,NA,1,0,2,NA
NA,1,NA,"University",NA,9,31,NA,52,"France",0,0,109960.4,NA,NA,"Mass Market","Married",53,2344,530,1,106723.28,1,NA
NA,3,"Female","High School","Active loan",6,NA,"Hawkins",NA,NA,NA,NA,NA,1,131.462141736044,NA,"Single",40,299,752,NA,65046.08,2,NA
NA,NA,NA,"University","No loan",10,28,"Wickens",26,"France",0,NA,47472.68,NA,155.981175113847,NA,NA,48,197,642,NA,0,NA,NA
NA,10,"Male",NA,"No loan",9,NA,"Ermakova",23,"Germany",0,1,NA,1,53.6380934524707,"Mass Market","Married",51,472,NA,1,115563.71,1,NA
NA,1,NA,"University","No loan",8,42,"Ch'iu",34,"France",NA,0,86330.32,1,87.6629974406716,"Mass Market","Married",58,1307,792,1,0,1,NA
